precip_mm,temp_max_c,temp_min_c,temp_mean_c,et0_mm,wind_max_ms,rh_pct,radiation_mj,date
4.4,29.88064516129032,22.287096774193547,25.45483870967742,126.87,3.334516129032258,76.16129032258064,580.8100000000001,1985-01-01
39.8,31.289285714285715,23.821428571428573,26.75714285714286,131.02,3.9192857142857145,76.10714285714286,579.33,1985-02-01
64.1,31.706451612903226,24.43548387096774,27.38064516129032,158.98,3.8454838709677417,74.12903225806451,692.03,1985-03-01
187.4,31.90666666666667,24.59333333333333,27.48,133.72,3.189,80.9,607.0,1985-04-01
279.0,30.490322580645163,24.219354838709677,26.664516129032258,113.69,2.855483870967742,88.6774193548387,558.97,1985-05-01
139.1,30.276666666666664,24.740000000000002,26.84333333333333,113.35,4.805666666666666,84.83333333333333,528.69,1985-06-01
254.3,29.91290322580645,23.95483870967742,26.161290322580644,115.86,3.6503225806451614,86.45161290322581,562.19,1985-07-01
210.0,30.003225806451614,24.17096774193548,26.154838709677417,113.08,4.583225806451613,87.0,553.89,1985-08-01
352.2,29.6,23.586666666666666,25.67,98.75,3.583666666666667,89.8,489.8,1985-09-01
374.8,29.458064516129035,23.206451612903226,25.532258064516128,97.78999999999999,2.5258064516129033,90.58064516129032,486.02,1985-10-01
201.20000000000002,29.163333333333334,23.083333333333332,25.493333333333332,88.17,2.749,89.93333333333334,438.2,1985-11-01
101.7,28.138709677419353,21.629032258064516,24.493548387096773,97.9,2.6874193548387098,85.7741935483871,492.0,1985-12-01
30.099999999999998,28.283870967741933,21.083870967741937,24.261290322580646,107.81,2.7903225806451615,81.54838709677419,531.93,1986-01-01
35.6,29.625,22.375,25.3,120.15,3.3835714285714285,78.0,561.33,1986-02-01
16.5,31.809677419354838,23.40967741935484,26.806451612903224,160.0,3.770322580645161,73.48387096774194,709.53,1986-03-01
51.3,32.416666666666664,25.176666666666666,28.123333333333335,155.82,3.9836666666666667,75.96666666666667,685.66,1986-04-01
190.3,31.274193548387096,25.074193548387097,27.38064516129032,123.13,4.280645161290322,83.7741935483871,568.4,1986-05-01
208.8,30.743333333333332,24.543333333333333,26.763333333333332,111.44,3.8089999999999997,87.36666666666666,543.01,1986-06-01
280.3,29.98709677419355,24.287096774193547,26.26774193548387,109.29,4.155806451612904,88.12903225806451,537.97,1986-07-01
284.8,29.700000000000003,24.42258064516129,26.193548387096776,102.36,4.77483870967742,87.6774193548387,490.07,1986-08-01
354.1,29.8,23.496666666666666,25.673333333333336,98.3,3.2356666666666665,90.23333333333333,485.2,1986-09-01
336.4,29.396774193548385,23.361290322580647,25.716129032258067,97.37,2.5012903225806453,90.83870967741936,485.92,1986-10-01
