date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type
1990-05-14,TanChau,10.804,105.234,19.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-06-14,TanChau,10.804,105.234,16.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-07-14,TanChau,10.804,105.234,14.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-08-14,TanChau,10.804,105.234,12.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-09-14,TanChau,10.804,105.234,9.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-10-14,TanChau,10.804,105.234,14.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-11-14,TanChau,10.804,105.234,13.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-12-14,TanChau,10.804,105.234,13.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-01-14,TanChau,10.804,105.234,14.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-02-09,TanChau,10.804,105.234,15.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-03-14,TanChau,10.804,105.234,16.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-04-14,TanChau,10.804,105.234,19.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-05-14,TanChau,10.804,105.234,22.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-06-14,TanChau,10.804,105.234,21.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-07-14,TanChau,10.804,105.234,15.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-08-14,TanChau,10.804,105.234,10.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-09-14,TanChau,10.804,105.234,9.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-10-14,TanChau,10.804,105.234,10.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-11-14,TanChau,10.804,105.234,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-12-14,TanChau,10.804,105.234,13.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-01-14,TanChau,10.804,105.234,14.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-02-14,TanChau,10.804,105.234,15.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-03-14,TanChau,10.804,105.234,18.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-04-14,TanChau,10.804,105.234,19.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-05-14,TanChau,10.804,105.234,22.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-06-14,TanChau,10.804,105.234,17.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-07-14,TanChau,10.804,105.234,11.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-08-14,TanChau,10.804,105.234,12.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-09-14,TanChau,10.804,105.234,9.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-10-14,TanChau,10.804,105.234,11.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-11-14,TanChau,10.804,105.234,12.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-12-14,TanChau,10.804,105.234,12.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-01-14,TanChau,10.804,105.234,14.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-02-14,TanChau,10.804,105.234,15.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-03-14,TanChau,10.804,105.234,19.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-04-14,TanChau,10.804,105.234,20.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-05-14,TanChau,10.804,105.234,21.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-06-14,TanChau,10.804,105.234,21.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-07-14,TanChau,10.804,105.234,9.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-08-14,TanChau,10.804,105.234,8.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-09-14,TanChau,10.804,105.234,11.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-10-14,TanChau,10.804,105.234,10.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-11-14,TanChau,10.804,105.234,13.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-12-14,TanChau,10.804,105.234,12.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-01-15,TanChau,10.804,105.234,13.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-02-15,TanChau,10.804,105.234,14.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-03-15,TanChau,10.804,105.234,17.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-04-15,TanChau,10.804,105.234,23.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-05-15,TanChau,10.804,105.234,23.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-06-15,TanChau,10.804,105.234,18.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-07-15,TanChau,10.804,105.234,13.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-08-15,TanChau,10.804,105.234,9.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-09-15,TanChau,10.804,105.234,9.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-10-15,TanChau,10.804,105.234,10.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-11-15,TanChau,10.804,105.234,11.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-12-15,TanChau,10.804,105.234,12.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-01-15,TanChau,10.804,105.234,16.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-02-15,TanChau,10.804,105.234,13.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-03-15,TanChau,10.804,105.234,16.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-04-15,TanChau,10.804,105.234,17.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-05-15,TanChau,10.804,105.234,21.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-06-15,TanChau,10.804,105.234,21.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-07-15,TanChau,10.804,105.234,11.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-08-15,TanChau,10.804,105.234,10.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-09-15,TanChau,10.804,105.234,19.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-10-15,TanChau,10.804,105.234,10.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-11-15,TanChau,10.804,105.234,15.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-12-15,TanChau,10.804,105.234,14.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-01-15,TanChau,10.804,105.234,13.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-02-15,TanChau,10.804,105.234,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-03-15,TanChau,10.804,105.234,15.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-04-15,TanChau,10.804,105.234,18.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-05-15,TanChau,10.804,105.234,19.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-06-15,TanChau,10.804,105.234,12.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-07-15,TanChau,10.804,105.234,13.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-08-15,TanChau,10.804,105.234,9.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-09-15,TanChau,10.804,105.234,10.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-10-15,TanChau,10.804,105.234,10.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-11-15,TanChau,10.804,105.234,10.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-12-15,TanChau,10.804,105.234,11.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-01-15,TanChau,10.804,105.234,13.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-02-15,TanChau,10.804,105.234,12.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-03-15,TanChau,10.804,105.234,12.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-04-15,TanChau,10.804,105.234,16.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-05-15,TanChau,10.804,105.234,18.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-06-15,TanChau,10.804,105.234,14.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-07-15,TanChau,10.804,105.234,12.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1997-08-15,TanChau,10.804,105.234,8.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
