precip_mm,temp_max_c,temp_min_c,temp_mean_c,et0_mm,wind_max_ms,rh_pct,radiation_mj,date
10.8,30.67096774193548,21.825806451612905,25.98709677419355,123.49,2.851935483870968,73.2258064516129,571.62,1985-01-01
21.2,32.65714285714286,23.457142857142856,27.582142857142856,131.74,3.358571428571429,71.85714285714286,565.34,1985-02-01
59.9,33.38387096774194,24.206451612903226,28.387096774193548,161.08,3.358709677419355,69.61290322580645,696.84,1985-03-01
172.8,33.39666666666667,25.17,28.39333333333333,142.78,3.5883333333333334,76.66666666666667,612.05,1985-04-01
203.2,31.164516129032258,24.677419354838708,27.154838709677417,127.35,3.393548387096774,86.09677419354838,616.9,1985-05-01
152.0,30.273333333333333,24.973333333333336,27.063333333333333,115.01,5.101333333333333,83.8,525.9,1985-06-01
178.9,30.70967741935484,24.177419354838708,26.725806451612904,126.00999999999999,4.092258064516129,82.87096774193549,589.42,1985-07-01
193.0,30.606451612903225,24.64516129032258,26.91290322580645,124.38000000000001,5.605806451612903,82.48387096774194,562.86,1985-08-01
331.2,30.44333333333333,24.126666666666665,26.39,104.11,3.9983333333333335,85.66666666666667,486.05,1985-09-01
366.3,30.125806451612902,23.6,25.970967741935485,98.14,2.7606451612903227,87.7741935483871,474.06,1985-10-01
268.6,30.39333333333333,23.57,26.09,97.64,2.9320000000000004,86.16666666666667,466.82,1985-11-01
38.5,29.229032258064517,21.97741935483871,25.138709677419353,115.83,3.617096774193548,76.19354838709677,529.16,1985-12-01
9.3,29.96451612903226,21.219354838709677,25.216129032258067,128.18,3.5648387096774194,69.38709677419355,567.34,1986-01-01
87.39999999999999,31.114285714285717,22.114285714285717,26.260714285714283,123.6,3.2064285714285714,73.39285714285714,556.7,1986-02-01
19.200000000000003,33.05483870967742,23.40967741935484,27.770967741935483,163.82,3.582258064516129,68.06451612903226,702.52,1986-03-01
67.2,34.21333333333334,24.813333333333333,28.94333333333333,159.21,3.489,71.43333333333334,677.67,1986-04-01
153.8,31.612903225806452,25.216129032258067,27.677419354838708,127.72,4.891935483870968,81.54838709677419,573.85,1986-05-01
186.8,30.983333333333334,24.89,27.15,116.47,4.444333333333334,85.4,553.86,1986-06-01
209.8,30.796774193548384,24.738709677419354,26.951612903225808,120.63,4.89483870967742,83.6774193548387,559.34,1986-07-01
234.9,30.248387096774195,24.72258064516129,26.816129032258065,110.23,5.183225806451613,83.70967741935483,489.36,1986-08-01
331.7,30.373333333333335,24.08,26.290000000000003,100.39,3.909666666666667,86.73333333333333,473.37,1986-09-01
