date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type
1990-06-14,MyTho,10.36,106.36,22.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-07-14,MyTho,10.36,106.36,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-08-14,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-09-14,MyTho,10.36,106.36,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-10-14,MyTho,10.36,106.36,16.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-11-14,MyTho,10.36,106.36,15.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1990-12-15,MyTho,10.36,106.36,17.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-01-15,MyTho,10.36,106.36,15.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-02-09,MyTho,10.36,106.36,25.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-03-15,MyTho,10.36,106.36,50.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-04-15,MyTho,10.36,106.36,211.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-05-15,MyTho,10.36,106.36,96.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-06-15,MyTho,10.36,106.36,41.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-07-15,MyTho,10.36,106.36,24.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-08-15,MyTho,10.36,106.36,13.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-09-15,MyTho,10.36,106.36,31.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-10-15,MyTho,10.36,106.36,19.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-11-15,MyTho,10.36,106.36,16.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1991-12-15,MyTho,10.36,106.36,15.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-01-15,MyTho,10.36,106.36,17.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-02-15,MyTho,10.36,106.36,42.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-03-15,MyTho,10.36,106.36,24.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-04-15,MyTho,10.36,106.36,42.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-05-15,MyTho,10.36,106.36,259.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-06-14,MyTho,10.36,106.36,70.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-07-14,MyTho,10.36,106.36,25.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-08-15,MyTho,10.36,106.36,23.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-09-15,MyTho,10.36,106.36,11.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-10-15,MyTho,10.36,106.36,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-11-14,MyTho,10.36,106.36,13.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1992-12-14,MyTho,10.36,106.36,14.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-01-15,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-02-15,MyTho,10.36,106.36,18.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-03-15,MyTho,10.36,106.36,165.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-04-15,MyTho,10.36,106.36,535.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-05-15,MyTho,10.36,106.36,58.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-06-15,MyTho,10.36,106.36,27.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-07-15,MyTho,10.36,106.36,22.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-08-15,MyTho,10.36,106.36,17.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-09-15,MyTho,10.36,106.36,17.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-10-15,MyTho,10.36,106.36,18.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-11-15,MyTho,10.36,106.36,14.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1993-12-15,MyTho,10.36,106.36,16.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-01-15,MyTho,10.36,106.36,18.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-02-15,MyTho,10.36,106.36,80.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-03-15,MyTho,10.36,106.36,451.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-04-15,MyTho,10.36,106.36,699.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-05-15,MyTho,10.36,106.36,73.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-06-15,MyTho,10.36,106.36,32.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-07-15,MyTho,10.36,106.36,18.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-08-15,MyTho,10.36,106.36,10.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-09-15,MyTho,10.36,106.36,14.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-10-15,MyTho,10.36,106.36,18.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-11-15,MyTho,10.36,106.36,16.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1994-12-15,MyTho,10.36,106.36,14.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-01-15,MyTho,10.36,106.36,15.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-02-15,MyTho,10.36,106.36,17.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-03-15,MyTho,10.36,106.36,52.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-04-15,MyTho,10.36,106.36,93.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-05-15,MyTho,10.36,106.36,603.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-06-15,MyTho,10.36,106.36,52.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-07-15,MyTho,10.36,106.36,25.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-08-15,MyTho,10.36,106.36,14.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-09-15,MyTho,10.36,106.36,14.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-10-15,MyTho,10.36,106.36,13.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-11-15,MyTho,10.36,106.36,12.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1995-12-15,MyTho,10.36,106.36,15.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-01-15,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-02-15,MyTho,10.36,106.36,17.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-03-15,MyTho,10.36,106.36,20.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-04-15,MyTho,10.36,106.36,210.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-05-15,MyTho,10.36,106.36,35.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-06-15,MyTho,10.36,106.36,19.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-07-15,MyTho,10.36,106.36,23.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-08-15,MyTho,10.36,106.36,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-09-15,MyTho,10.36,106.36,14.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1996-10-15,MyTho,10.36,106.36,14.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
